fecha,forecast_lower,forecast,forecast_upper,serie,modelo,producto,calibre,unidad
2026-04-06,6.956969116011003,7.79493689947149,8.355084919385686,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-04-13,6.632449211318463,7.6978145440102805,8.007499076373014,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-04-20,6.516399199672178,7.586415051894607,7.8957060296875685,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-04-27,6.612940769578968,7.389461661696173,7.9439242103186025,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-05-04,6.637768043504624,7.16453153382974,8.06836006978581,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-05-11,6.634038626240664,7.300339770752153,8.029733863631899,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-05-18,6.296981859322352,7.065210054430097,7.782471493699595,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-05-25,6.050439299807042,6.9094500226072135,7.476400550472115,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-06-01,5.695343645302212,6.619266918697502,7.122944123581547,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-06-08,5.505855925975703,6.437199386783035,6.888221656147872,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-06-15,5.397165660884293,6.35050487567457,6.845996593313151,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-06-22,5.581029444275119,6.335736523895919,6.918936817119276,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-06-29,5.670042012919488,6.305700654605847,7.101387369156366,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-07-06,5.637955842562786,6.395415469192093,7.068944608834444,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-07-13,5.564957019402858,6.398344219037337,7.019026256764805,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
2026-07-20,5.452558455936832,6.403113472322116,6.91867323907863,Brazil HON|10-12 lb,Ensemble Naive+Prophet,Brazil HON,10-12 lb,USD/kg
